【合租】霍营 紫金新干线 3室次卧,紫金新干线,2190,http://bj.58.com/pinpaigongyu/26894956952779x.shtml
【合租】霍营 紫金新干线 3室主卧,紫金新干线,2490,http://bj.58.com/pinpaigongyu/26894945249729x.shtml
【合租】花乡 德鑫家园 3室次卧,德鑫家园,1890,http://bj.58.com/pinpaigongyu/26995440779202x.shtml
【合租】花乡 德鑫家园 3室次卧,德鑫家园,1890,http://bj.58.com/pinpaigongyu/27005937695177x.shtml
【合租】西北旺 大牛坊 3室主卧,大牛坊,1690,http://bj.58.com/pinpaigongyu/27016885237930x.shtml
【合租】霍营 紫金新干线 3室次卧,紫金新干线,2190,http://bj.58.com/pinpaigongyu/27070800365612x.shtml
【整租】西红门 乐乎城市青年社区 1室1厅,【整租】西红门,2500,http://bj.58.com/pinpaigongyu/26807153639628x.shtml
【合租】生物医药基地 鑫苑·鑫都汇 3室主卧,鑫苑·鑫都汇,1500,http://bj.58.com/pinpaigongyu/26573029897525x.shtml
【整租】通州北苑 乐乎公寓 1室1厅,【整租】通州北苑,2300,http://bj.58.com/pinpaigongyu/27017800460225x.shtml
【整租】通州北苑 乐乎城市青年社区 1室1厅,【整租】通州北苑,2300,http://bj.58.com/pinpaigongyu/27060540985648x.shtml
【整租】黄村 I立方 1室1厅,I立方,2500,http://bj.58.com/pinpaigongyu/26574454517573x.shtml
【合租】花乡 德鑫家园 3室次卧,德鑫家园,1890,http://bj.58.com/pinpaigongyu/26883840405959x.shtml
【合租】西北旺 大牛坊 3室次卧,大牛坊,1400,http://bj.58.com/pinpaigongyu/27070368579385x.shtml
【合租】管庄 远洋一方润园2号 3室次卧,远洋一方润园2号,2060,http://bj.58.com/pinpaigongyu/27004623172430x.shtml
【整租】西红门 星光影视园 1室1厅,星光影视园,2300,http://bj.58.com/pinpaigongyu/26793889899088x.shtml
【合租】花乡 德鑫家园 3室主卧,德鑫家园,2290,http://bj.58.com/pinpaigongyu/26995426810677x.shtml
